transporteur,origine,origine_uic,destination,destination_uic,distance_entre_les_gares,train_empreinte_carbone_kgco2e,distance_routiere,autocar_longue_distance_empreinte_carbone_kgco2e,voiture_electrique_2_2_pers_empreinte_carbone_kgco2e,voiture_thermique_2_2_pers_empreinte_carbone_kgco2e,distance_aerienne,avion_empreinte_carbone_kgco2e
TGV,Massy-TGV,87393702,Bordeaux Saint-Jean,87581009,523.0,1.8305,569.0,21.622,53.486,50.641,,
TGV,Paris Gare du Nord,87271007,Lens,87345025,198.0,0.693,214.0,8.132,20.116,19.046,,
TGV,Paris Montparnasse,87391003,Toulouse Matabiau,87611004,793.993,2.7789755,679.0,25.802,63.826,60.431,589.0,73.625
TGV,Paris-Est,87113001,Champagne-Ardenne-TGV,87171926,175.0,0.6125,148.0,5.624,13.912,13.172,,
TGV,Paris Est,87113001,Strasbourg,87212027,450.58,1.57703,488.0,18.544,45.872,43.432,,
Intercités,Bordeaux Saint-Jean,87581009,Nantes,87481002,525.0,3.5175,354.0,13.452,33.276,31.506,,
Intercités,Agen,87586008,Bordeaux Saint-Jean,87581009,135.0,0.9045,139.0,5.282,13.066,12.371,,
Intercités,Paris-Austerlitz,87547000,Brive-la-Gaillarde,87594002,498.0,3.3366,484.0,18.392,45.496,43.076,,
Intercités,Bordeaux Saint-Jean,87581009,Toulouse-Matabiau,87611004,257.0,1.7219,244.0,9.272,22.936,21.716,,
International,Paris Est,87113001,Muenchen HBF,80203471,843.0,7.6713,833.0,31.654,78.302,74.137,687.0,85.875
International,Paris Est,87113001,Stuttgart HBF,80290346,608.0,5.5328,622.0,23.636,58.468,55.358,503.0,62.875
TER,Bayonne,87673004,Bordeaux Saint-Jean,87581009,198.0,4.7124,191.0,7.258,17.954,16.999,,
TER,Chambéry-Challes-les-Eaux,87741009,Lyon Part-Dieu,87723197,107.0,2.5466,109.0,4.142,10.246,9.701,,
TER,Grenoble,87747006,Lyon Part-Dieu,87723197,131.0,3.1178,113.0,4.294,10.622,10.057,,
TGV,Paris Gare de Lyon,87686006,Mâcon Loché TGV,87725705,369.0,1.2915,403.0,15.314,37.882,35.867,,
TGV,Paris Gare de Lyon,87686006,Besançon Franche Comté,87300863,367.0,1.2845,416.0,15.808,39.104,37.024,,
TGV,Paris Gare du Nord,87271007,Lille Europe,87223263,225.249,0.7883715,230.0,8.74,21.62,20.47,,
TGV,Lyon Part Dieu,87723197,Montpellier Saint-Roch,87773002,314.0,1.099,303.0,11.514,28.482,26.967,,
TGV,Paris Gare de Lyon,87686006,Nice,87756056,971.68,3.40088,934.0,35.492,87.796,83.126,689.0,86.125
