No.;year;origin_country;origin_station_name;origin_city;origin_region;destination_country;destination_station_name;destination_city;destination_region;Passengers_millions;Type
2690;2017;Italy;Genova Piazza Principe;Genova;Liguria;Italy;Venezia Santa Lucia;Venezia;Veneto;1.281;Intercity
2691;2018;Italy;Milano Centrale;Milano;Lombardia;Italy;Firenze S. M. Novella;Firenze;Toscana;0.584;Alta Velocita
2692;2018;Italy;Milano Centrale;Milano;Lombardia;Italy;Bari Centrale;Bari;Puglia;3.136;Alta Velocita
2693;2018;Italy;Napoli Centrale;Napoli;Campania;Italy;Palermo Centrale;Palermo;Sicilia;1.754;Alta Velocita
2694;2018;Italy;Torino Porta Nuova;Torino;Piemonte;Italy;Milano Centrale;Milano;Lombardia;4.669;Intercity
2695;2018;Italy;Torino Porta Nuova;Torino;Piemonte;Italy;Bologna Centrale;Bologna;Emilia-Romagna;4.22;Intercity
2696;2018;Italy;Torino Porta Nuova;Torino;Piemonte;Italy;Firenze S. M. Novella;Firenze;Toscana;2.246;Intercity
2697;2018;Italy;Bologna Centrale;Bologna;Emilia-Romagna;Italy;Venezia Santa Lucia;Venezia;Veneto;2.246;Alta Velocita
2698;2018;Italy;Bologna Centrale;Bologna;Emilia-Romagna;Italy;Genova Piazza Principe;Genova;Liguria;0.958;Alta Velocita
2699;2018;Italy;Firenze S. M. Novella;Firenze;Toscana;Italy;Napoli Centrale;Napoli;Campania;2.539;Alta Velocita
2700;2018;Italy;Firenze S. M. Novella;Firenze;Toscana;Italy;Torino Porta Nuova;Torino;Piemonte;0.852;Alta Velocita
2701;2018;Italy;Venezia Santa Lucia;Venezia;Veneto;Italy;Genova Piazza Principe;Genova;Liguria;3.512;Intercity
2702;2018;Italy;Genova Piazza Principe;Genova;Liguria;Italy;Bari Centrale;Bari;Puglia;1.19;Intercity
2703;2018;Italy;Palermo Centrale;Palermo;Sicilia;Italy;Bologna Centrale;Bologna;Emilia-Romagna;1.686;Regionale
2704;2019;Italy;Milano Centrale;Milano;Lombardia;Italy;Roma Termini;Roma;Lazio;12.976;Alta Velocita
2705;2019;Italy;Torino Porta Nuova;Torino;Piemonte;Italy;Firenze S. M. Novella;Firenze;Toscana;3.747;Intercity
2706;2019;Italy;Torino Porta Nuova;Torino;Piemonte;Italy;Palermo Centrale;Palermo;Sicilia;1.489;Intercity
2707;2019;Italy;Bologna Centrale;Bologna;Emilia-Romagna;Italy;Roma Termini;Roma;Lazio;2.075;Alta Velocita
2708;2019;Italy;Bologna Centrale;Bologna;Emilia-Romagna;Italy;Bari Centrale;Bari;Puglia;2.826;Alta Velocita
2709;2019;Italy;Firenze S. M. Novella;Firenze;Toscana;Italy;Torino Porta Nuova;Torino;Piemonte;4.712;Alta Velocita
2710;2019;Italy;Venezia Santa Lucia;Venezia;Veneto;Italy;Firenze S. M. Novella;Firenze;Toscana;3.478;Intercity
2711;2019;Italy;Palermo Centrale;Palermo;Sicilia;Italy;Roma Termini;Roma;Lazio;1.388;Regionale
2712;2020;Italy;Napoli Centrale;Napoli;Campania;Italy;Milano Centrale;Milano;Lombardia;6.267;Alta Velocita
2713;2020;Italy;Napoli Centrale;Napoli;Campania;Italy;Bologna Centrale;Bologna;Emilia-Romagna;2.073;Alta Velocita
2714;2020;Italy;Napoli Centrale;Napoli;Campania;Italy;Genova Piazza Principe;Genova;Liguria;0.734;Alta Velocita
2715;2020;Italy;Torino Porta Nuova;Torino;Piemonte;Italy;Venezia Santa Lucia;Venezia;Veneto;3.979;Intercity
2716;2020;Italy;Venezia Santa Lucia;Venezia;Veneto;Italy;Torino Porta Nuova;Torino;Piemonte;3.636;Intercity
2717;2020;Italy;Venezia Santa Lucia;Venezia;Veneto;Italy;Firenze S. M. Novella;Firenze;Toscana;4.128;Intercity
2718;2020;Italy;Genova Piazza Principe;Genova;Liguria;Italy;Firenze S. M. Novella;Firenze;Toscana;3.763;Intercity
2719;2020;Italy;Palermo Centrale;Palermo;Sicilia;Italy;Genova Piazza Principe;Genova;Liguria;0.881;Regionale
2720;2020;Italy;Bari Centrale;Bari;Puglia;Italy;Bologna Centrale;Bologna;Emilia-Romagna;3.26;Regionale
2721;2021;Italy;Roma Termini;Roma;Lazio;Italy;Venezia Santa Lucia;Venezia;Veneto;2.44;Alta Velocita
2722;2021;Italy;Roma Termini;Roma;Lazio;Italy;Bari Centrale;Bari;Puglia;0.789;Alta Velocita
2723;2021;Italy;Milano Centrale;Milano;Lombardia;Italy;Napoli Centrale;Napoli;Campania;6.777;Alta Velocita
2724;2021;Italy;Napoli Centrale;Napoli;Campania;Italy;Roma Termini;Roma;Lazio;10.836;Alta Velocita
2725;2021;Italy;Napoli Centrale;Napoli;Campania;Italy;Bologna Centrale;Bologna;Emilia-Romagna;4.542;Alta Velocita
2726;2021;Italy;Torino Porta Nuova;Torino;Piemonte;Italy;Milano Centrale;Milano;Lombardia;7.457;Intercity
2727;2021;Italy;Torino Porta Nuova;Torino;Piemonte;Italy;Bari Centrale;Bari;Puglia;1.385;Intercity
2728;2021;Italy;Bologna Centrale;Bologna;Emilia-Romagna;Italy;Roma Termini;Roma;Lazio;2.243;Alta Velocita
2729;2021;Italy;Bologna Centrale;Bologna;Emilia-Romagna;Italy;Milano Centrale;Milano;Lombardia;1.955;Alta Velocita
2730;2021;Italy;Firenze S. M. Novella;Firenze;Toscana;Italy;Bologna Centrale;Bologna;Emilia-Romagna;1.082;Alta Velocita
2731;2021;Italy;Venezia Santa Lucia;Venezia;Veneto;Italy;Roma Termini;Roma;Lazio;2.833;Intercity
2732;2021;Italy;Genova Piazza Principe;Genova;Liguria;Italy;Milano Centrale;Milano;Lombardia;1.06;Intercity
2733;2022;Italy;Milano Centrale;Milano;Lombardia;Italy;Torino Porta Nuova;Torino;Piemonte;3.73;Alta Velocita
2734;2022;Italy;Napoli Centrale;Napoli;Campania;Italy;Palermo Centrale;Palermo;Sicilia;4.664;Alta Velocita
2735;2022;Italy;Torino Porta Nuova;Torino;Piemonte;Italy;Bologna Centrale;Bologna;Emilia-Romagna;4.414;Intercity
2736;2022;Italy;Venezia Santa Lucia;Venezia;Veneto;Italy;Torino Porta Nuova;Torino;Piemonte;0.206;Intercity
2737;2022;Italy;Genova Piazza Principe;Genova;Liguria;Italy;Roma Termini;Roma;Lazio;0.58;Intercity
2738;2022;Italy;Genova Piazza Principe;Genova;Liguria;Italy;Bologna Centrale;Bologna;Emilia-Romagna;3.951;Intercity
2739;2022;Italy;Palermo Centrale;Palermo;Sicilia;Italy;Firenze S. M. Novella;Firenze;Toscana;1.575;Regionale
2740;2022;Italy;Bari Centrale;Bari;Puglia;Italy;Roma Termini;Roma;Lazio;1.184;Regionale
2741;2023;Italy;Roma Termini;Roma;Lazio;Italy;Bari Centrale;Bari;Puglia;1.824;Alta Velocita
2742;2023;Italy;Milano Centrale;Milano;Lombardia;Italy;Firenze S. M. Novella;Firenze;Toscana;3.576;Alta Velocita
2743;2023;Italy;Milano Centrale;Milano;Lombardia;Italy;Venezia Santa Lucia;Venezia;Veneto;2.942;Alta Velocita
2744;2023;Italy;Napoli Centrale;Napoli;Campania;Italy;Bologna Centrale;Bologna;Emilia-Romagna;4.238;Alta Velocita
2745;2023;Italy;Torino Porta Nuova;Torino;Piemonte;Italy;Venezia Santa Lucia;Venezia;Veneto;1.971;Intercity
2746;2023;Italy;Bologna Centrale;Bologna;Emilia-Romagna;Italy;Roma Termini;Roma;Lazio;1.34;Alta Velocita
2747;2023;Italy;Bologna Centrale;Bologna;Emilia-Romagna;Italy;Napoli Centrale;Napoli;Campania;0.99;Alta Velocita
2748;2023;Italy;Bologna Centrale;Bologna;Emilia-Romagna;Italy;Genova Piazza Principe;Genova;Liguria;2.829;Alta Velocita
2749;2023;Italy;Firenze S. M. Novella;Firenze;Toscana;Italy;Palermo Centrale;Palermo;Sicilia;1.974;Alta Velocita
2750;2023;Italy;Venezia Santa Lucia;Venezia;Veneto;Italy;Roma Termini;Roma;Lazio;4.01;Intercity
2751;2023;Italy;Genova Piazza Principe;Genova;Liguria;Italy;Milano Centrale;Milano;Lombardia;4.384;Intercity
2752;2023;Italy;Genova Piazza Principe;Genova;Liguria;Italy;Firenze S. M. Novella;Firenze;Toscana;3.107;Intercity
2753;2023;Italy;Palermo Centrale;Palermo;Sicilia;Italy;Milano Centrale;Milano;Lombardia;4.843;Regionale
2754;2024;Italy;Roma Termini;Roma;Lazio;Italy;Firenze S. M. Novella;Firenze;Toscana;2.619;Alta Velocita
2755;2024;Italy;Milano Centrale;Milano;Lombardia;Italy;Roma Termini;Roma;Lazio;4.997;Alta Velocita
2756;2024;Italy;Napoli Centrale;Napoli;Campania;Italy;Bari Centrale;Bari;Puglia;1.586;Alta Velocita
2757;2024;Italy;Bologna Centrale;Bologna;Emilia-Romagna;Italy;Roma Termini;Roma;Lazio;4.484;Alta Velocita
2758;2024;Italy;Firenze S. M. Novella;Firenze;Toscana;Italy;Milano Centrale;Milano;Lombardia;3.657;Alta Velocita
2759;2024;Italy;Firenze S. M. Novella;Firenze;Toscana;Italy;Bologna Centrale;Bologna;Emilia-Romagna;2.543;Alta Velocita
2760;2024;Italy;Bari Centrale;Bari;Puglia;Italy;Venezia Santa Lucia;Venezia;Veneto;3.69;Regionale
2761;2024;Italy;Bari Centrale;Bari;Puglia;Italy;Palermo Centrale;Palermo;Sicilia;3.375;Regionale
